,state,county,population,county_name,state_name
2106,39,127,35947.0,Perry County, Ohio
2107,39,129,56804.0,Pickaway County, Ohio
2108,39,131,28298.0,Pike County, Ohio
2109,39,133,161796.0,Portage County, Ohio
2110,39,135,41561.0,Preble County, Ohio
2111,39,137,34116.0,Putnam County, Ohio
2112,39,139,121888.0,Richland County, Ohio
2113,39,141,77193.0,Ross County, Ohio
2114,39,143,59870.0,Sandusky County, Ohio
2115,39,145,77366.0,Scioto County, Ohio
2116,39,147,55711.0,Seneca County, Ohio
2117,39,149,48949.0,Shelby County, Ohio
2118,39,151,374762.0,Stark County, Ohio
2119,39,153,541372.0,Summit County, Ohio
2120,39,155,204908.0,Trumbull County, Ohio
2121,39,157,92579.0,Tuscarawas County, Ohio
2122,39,159,53955.0,Union County, Ohio
2123,39,161,28501.0,Van Wert County, Ohio
2124,39,163,13128.0,Vinton County, Ohio
2125,39,165,222184.0,Warren County, Ohio
2126,39,167,61154.0,Washington County, Ohio
2127,39,169,115747.0,Wayne County, Ohio
2128,39,171,37270.0,Williams County, Ohio
2129,39,173,129418.0,Wood County, Ohio
2130,39,175,22359.0,Wyandot County, Ohio
2131,40,001,22161.0,Adair County, Oklahoma
2132,40,003,5784.0,Alfalfa County, Oklahoma
2133,40,005,13847.0,Atoka County, Oklahoma
2134,40,007,5479.0,Beaver County, Oklahoma
2135,40,009,23290.0,Beckham County, Oklahoma
2136,40,011,9777.0,Blaine County, Oklahoma
2137,40,013,44529.0,Bryan County, Oklahoma
2138,40,015,29510.0,Caddo County, Oklahoma
2139,40,017,129571.0,Canadian County, Oklahoma
2140,40,019,48530.0,Carter County, Oklahoma
2141,40,021,48267.0,Cherokee County, Oklahoma
2142,40,023,15051.0,Choctaw County, Oklahoma
2143,40,025,2269.0,Cimarron County, Oklahoma
2144,40,027,271818.0,Cleveland County, Oklahoma
2145,40,029,5755.0,Coal County, Oklahoma
2146,40,031,124583.0,Comanche County, Oklahoma
2147,40,033,6062.0,Cotton County, Oklahoma
2148,40,035,14683.0,Craig County, Oklahoma
2149,40,037,70931.0,Creek County, Oklahoma
2150,40,039,29248.0,Custer County, Oklahoma
2151,40,041,41433.0,Delaware County, Oklahoma
2152,40,043,4862.0,Dewey County, Oklahoma
2153,40,045,4123.0,Ellis County, Oklahoma
2154,40,047,62481.0,Garfield County, Oklahoma
2155,40,049,27570.0,Garvin County, Oklahoma
2156,40,051,53955.0,Grady County, Oklahoma
2157,40,053,4497.0,Grant County, Oklahoma
2158,40,055,6081.0,Greer County, Oklahoma
2159,40,057,2813.0,Harmon County, Oklahoma
2160,40,059,3785.0,Harper County, Oklahoma
2161,40,061,12835.0,Haskell County, Oklahoma
2162,40,063,13727.0,Hughes County, Oklahoma
2163,40,065,25864.0,Jackson County, Oklahoma
2164,40,067,6280.0,Jefferson County, Oklahoma
2165,40,069,11027.0,Johnston County, Oklahoma
2166,40,071,45398.0,Kay County, Oklahoma
2167,40,073,15392.0,Kingfisher County, Oklahoma
2168,40,075,9239.0,Kiowa County, Oklahoma
2169,40,077,10643.0,Latimer County, Oklahoma
2170,40,079,49885.0,Le Flore County, Oklahoma
2171,40,081,34640.0,Lincoln County, Oklahoma
2172,40,083,45171.0,Logan County, Oklahoma
2173,40,085,9768.0,Love County, Oklahoma
2174,40,087,37222.0,McClain County, Oklahoma
